#Time,Time_usec,ProducerName,component_id,job_id,app_id,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Dirty,Writeback,AnonPages,Mapped,Shmem,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,HardwareCorrupted,AnonHugePages,ShmemHugePages,ShmemPmdMapped,CmaTotal,CmaFree,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,DirectMap4k,DirectMap2M,DirectMap1G
1727407764.001571,1571,121411e04560,1,0,0,115386068,97836752,110455984,2082828,7606416,0,7593420,3985292,1894876,36044,5698544,3949248,256,256,2097148,2097148,1304,0,1889944,633300,41512,4825700,3936688,889012,45968,60372,0,0,0,59790180,17134756,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727407764.501226,501226,121411e04560,1,0,0,115386068,97836100,110455364,2082844,7606440,0,7593508,3985320,1894960,36044,5698548,3949276,256,256,2097148,2097148,1200,28,1890024,633324,41512,4825700,3936688,889012,45984,60408,0,0,0,59790180,17134756,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727407765.002210,2210,121411e04560,1,0,0,115386068,97835844,110455116,2082856,7606440,0,7593444,3985324,1894892,36044,5698552,3949280,256,256,2097148,2097148,1200,40,1889916,633392,41512,4825700,3936688,889012,45968,60372,0,0,0,59790180,17134756,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727407765.500862,500862,121411e04560,1,0,0,115386068,97837324,110456656,2082860,7606456,0,7592988,3985332,1894416,36044,5698572,3949288,256,256,2097148,2097148,1236,0,1889544,633344,41512,4825732,3936720,889012,45968,60376,0,0,0,59790180,17135796,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727407766.001912,1912,121411e04560,1,0,0,115386068,97837564,110456912,2082872,7606460,0,7593092,3985336,1894508,36044,5698584,3949292,256,256,2097148,2097148,1236,0,1889648,633436,41512,4825732,3936720,889012,45968,60396,0,0,0,59790180,17135796,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727407766.501602,501602,121411e04560,1,0,0,115386068,97837464,110456816,2082872,7606460,0,7593104,3985336,1894516,36044,5698588,3949292,256,256,2097148,2097148,1236,0,1889628,633440,41512,4825732,3936720,889012,45968,60400,0,0,0,59790180,17135796,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727407767.001578,1578,121411e04560,1,0,0,115386068,97837680,110457032,2082876,7606460,0,7593056,3985336,1894468,36044,5698588,3949292,256,256,2097148,2097148,1236,0,1889584,633348,41512,4825732,3936720,889012,45984,60412,0,0,0,59790180,17135796,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727407767.501236,501236,121411e04560,1,0,0,115386068,97837408,110456768,2082888,7606456,0,7593532,3985336,1894936,36044,5698596,3949292,256,256,2097148,2097148,1240,0,1890032,633424,41512,4825732,3936720,889012,46000,60456,0,0,0,59790180,17137200,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727407768.002253,2253,121411e04560,1,0,0,115386068,97837540,110456900,2082892,7606456,0,7593532,3985336,1894936,36044,5698596,3949292,256,256,2097148,2097148,1240,0,1890052,633424,41512,4825732,3936720,889012,46000,60456,0,0,0,59790180,17137200,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727407768.500907,500907,121411e04560,1,0,0,115386068,97837540,110456908,2082908,7606448,0,7593892,3985336,1895288,36044,5698604,3949292,256,256,2097148,2097148,1240,0,1890412,633476,41512,4825732,3936720,889012,46032,60564,0,0,0,59790180,17137200,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727407769.001886,1886,121411e04560,1,0,0,115386068,97836760,110456180,2082920,7606480,0,7593396,3985352,1894760,36044,5698636,3949308,256,256,2097148,2097148,1240,0,1890008,633312,41512,4825736,3936724,889012,45968,60332,0,0,0,59790180,17153840,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
1727407769.501548,501548,121411e04560,1,0,0,115386068,97837016,110456444,2082924,7606484,0,7592896,3985356,1894256,36044,5698640,3949312,256,256,2097148,2097148,1204,0,1889412,633052,41512,4825736,3936724,889012,45920,60176,0,0,0,59790180,17154884,34359738367,0,0,0,0,0,0,0,0,0,0,0,0,2048,1582648,30820352,102760448
