Size,Repeat,Avg Time (s),Bandwidth (GB/s)
1000,10000,5.070750135928393e-07,31.553516878367336
1500,10000,6.135586649179458e-07,39.11606399236434
2000,10000,6.934768985956907e-07,46.144291273149626
3000,10000,1.1648532003164292e-06,41.20690915126553
4000,10000,1.4812389854341744e-06,43.20707234237465
5000,10000,1.7544487956911325e-06,45.598366960881
6000,10000,1.694041909649968e-06,56.66920012612677
8000,10000,1.820538705214858e-06,70.3088594784331
10000,10000,2.270714286714792e-06,70.46240953170893
15000,10000,0.00010329197742976248,2.3235105568890635
20000,10000,0.00010089564709924161,3.1715937129105867
25000,10000,9.59272790234536e-05,4.169825351787603
30000,10000,9.675819566473365e-05,4.960820080432215
35000,10000,9.534010402858257e-05,5.873708715821354
40000,10000,9.455133429728449e-05,6.768809819095074
50000,10000,9.576235180720687e-05,8.354013711052088
60000,10000,9.689648128114641e-05,9.907480512264913
75000,10000,9.730712678283452e-05,12.332087480890312
90000,10000,9.781631832011044e-05,14.721470044369324
100000,100,9.742479771375656e-05,16.422923501478074
110000,100,9.817768353968859e-05,17.92668085602687
120000,100,9.821197018027306e-05,19.549551816094745
130000,100,9.86338360235095e-05,21.088097998178124
140000,100,9.622439742088318e-05,23.278919484445243
150000,100,9.6843671053648e-05,24.782208004800687
160000,100,9.78767080232501e-05,26.155354544534593
170000,100,9.713968262076378e-05,28.000915039211744
180000,100,9.696339257061481e-05,29.70193104477655
190000,100,9.643249679356813e-05,31.524642636887137
200000,100,9.70793329179287e-05,32.96273165273287
230000,100,9.678054135292769e-05,38.024172509845926
270000,100,9.705237578600646e-05,44.51204790210691
290000,100,9.663444943726063e-05,48.01600285426673
300000,100,9.748501237481833e-05,49.238338110319646
325000,100,9.728922974318266e-05,53.44887623970914
350000,100,9.794858284294606e-05,57.172853730607024
375000,100,9.8257209174335e-05,61.06422165272747
400000,100,9.778043720871211e-05,65.45276522275326
410000,100,9.766172152012587e-05,67.17063653898556
425000,100,9.836693294346333e-05,69.12892164593887
430000,100,9.768949821591378e-05,70.42722222601444
450000,100,9.813013952225446e-05,73.37195315377235
475000,100,9.839221835136413e-05,77.24188078431136
500000,100,9.939644020050765e-05,80.48577981124863
525000,100,9.836362674832344e-05,85.39742054746038
540000,100,9.919648990035057e-05,87.09985614087202
575000,100,9.791713673621417e-05,93.956995748196
590000,100,9.888317901641131e-05,95.46618640196908
600000,100,9.919241070747375e-05,96.78159782113934
610000,100,9.805365931242705e-05,99.5373356633417
625000,100,9.933582041412591e-05,100.66862042625225
650000,100,9.93462698534131e-05,104.68435317546754
675000,100,9.910503868013621e-05,108.97528666385216
750000,100,0.00010004465002566576,119.94644388202151
800000,100,0.00010004050098359585,127.9481797287169
850000,100,9.947816375643015e-05,136.71342017630388
900000,100,9.950791019946336e-05,144.7121135509251
925000,100,0.00010023587848991156,147.65172134935273
950000,100,0.00010076820850372314,150.84122488332613
975000,100,9.962120093405246e-05,156.59317347847406
1000000,100,0.00010147110093384981,157.68036271165113
5000000,100,0.00011334075592458249,705.8361252966444
10000000,100,0.0001680241199210286,952.2442377630072
15000000,100,0.0004650275316089392,516.0984752228087
20000000,100,0.0018119149887934327,176.60872721909007
30000000,100,0.003024570010602474,158.70024443718768
40000000,100,0.002945876740850508,217.25281004636489
50000000,100,0.004817017964087427,166.07785272222006
60000000,100,0.0066076553007587795,145.2860290532649
70000000,100,0.008157416759058834,137.2983670052455
75000000,100,0.008994221319444478,133.41899841910018
100000000,100,0.013211989267729223,121.10212683173
110000000,100,0.01424073105212301,123.58916080629294
120000000,100,0.01590251737739891,120.73560144186708
130000000,100,0.018292047479189933,113.7106167238154
140000000,100,0.018952611959539355,118.18951418316504
150000000,100,0.020711692348122597,115.87657636376329
