Stride,Elapsed Time (s),Bandwidth (GB/s)
1,0.0005270731635391712,303.5631693437737
2,0.07256310991942883,2.204977159574026
3,0.09349998878315091,1.7112301518140147
4,0.17908192425966263,0.8934458386096271
5,0.18735744571313262,0.853982607368483
6,0.19197382824495435,0.8334469415062326
8,0.19781207898631692,0.8088484829638111
10,0.18210787372663617,0.8786001215970348
12,0.18953088019043207,0.8441896108921101
16,0.27549909008666873,0.5807641685846073
20,0.21020306926220655,0.7611687144321218
24,0.2134464648552239,0.7496024827983191
32,0.3541362192481756,0.4518035470635478
40,0.22835404006764293,0.7006663860757834
48,0.38242103392258286,0.41838702845092546
64,0.38892908999696374,0.41138604469326034
75,0.2452906840480864,0.6522873081010848
80,0.3980465838685632,0.40196300253347417
96,0.3975042896345258,0.40251137955544464
112,0.3924852767959237,0.4076586039256536
128,0.38866393687203526,0.4116666992252457
140,0.2305917232297361,0.6938670554128853
156,0.2583325169980526,0.6193567958818212
160,0.4656185610219836,0.34362891300728404
192,0.39980776933953166,0.4001923230864532
256,0.4717954299412668,0.33913003358239013
